Age,Conc_tricaine,Recovery,Not_SM_or_TR,Length
42,0.008,1,1,12.5
42,0.008,1,1,15.5
42,0.008,1,1,13
42,0.008,1,1,16.5
42,0.008,1,1,13.5
42,0.008,1,1,16
42,0.008,1,1,16.5
42,0.008,1,1,17.5
42,0.008,1,1,14
42,0.008,1,1,12.5
42,0.008,1,1,13
42,0.008,1,1,18
42,0.008,0,1,11
42,0.008,1,1,12
42,0.008,1,1,13
42,0.008,1,1,14
42,0.008,1,1,11.5
42,0.008,1,1,12.5
42,0.008,1,1,14
42,0.008,1,1,16
42,0.008,1,1,14.5
42,0.008,1,1,13.5
42,0.008,1,1,15
42,0.009,1,1,12
42,0.009,0,1,15
42,0.009,1,1,10
42,0.009,0,1,13
42,0.009,0,1,15
42,0.009,0,1,11
42,0.009,1,1,12.5
42,0.009,0,1,13
42,0.009,1,1,12
42,0.009,1,1,14
42,0.009,0,1,11
42,0.009,1,1,17
42,0.009,0,1,13
42,0.009,1,1,16
42,0.009,1,1,12
42,0.009,0,1,15
42,0.009,1,1,14.5
42,0.009,0,1,11
42,0.009,0,1,15
42,0.009,0,1,12
42,0.009,1,1,14
42,0.009,0,1,14
42,0.009,0,1,11
42,0.009,0,1,16
42,0.009,1,1,15.5
42,0.009,1,1,12
42,0.009,1,1,10
42,0.009,1,1,16
42,0.009,1,1,17
42,0.009,1,1,12
40,0.008,1,1,11.5
40,0.008,1,1,13.5
40,0.008,1,1,13
40,0.008,1,1,11
40,0.008,1,1,11
40,0.008,1,1,13
40,0.008,0,1,11
40,0.008,1,1,8
40,0.008,0,1,11
40,0.008,1,1,16
40,0.008,1,1,12
40,0.008,1,1,15.5
40,0.008,1,1,12
40,0.008,1,1,14
40,0.008,1,1,15
40,0.008,1,1,16
40,0.008,1,1,15.5
40,0.008,1,1,12
40,0.008,1,1,14
40,0.008,1,1,15
40,0.008,1,1,16
40,0.008,1,1,15.5
40,0.008,1,1,16
40,0.008,1,1,11
40,0.008,1,1,14
40,0.008,1,1,14
40,0.008,1,1,14
40,0.008,0,1,10
40,0.008,1,1,14
